source_path,action,reason,target
.ai/QUICK_START.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/architecture/COMMANDS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/architecture/DATA_FLOW.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/architecture/OVERVIEW.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/architecture/PATHS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/architecture/SIMULATION_LANES.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/SUMMARY.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/ardupilot/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/ardupilot_gazebo/ArduPilotPlugin/airspeed_json.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/ardupilot_gazebo/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/external_mods/gazebo/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/_TEMPLATE/CHANGELOG.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/_TEMPLATE/IMPLEMENTATION.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/_TEMPLATE/STATUS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/00_SCOPE_AND_STATUS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/10_SENSOR_MODEL.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/20_WIND_WORLDS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/30_BENCHES.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/40_PLUGIN_TRANSPORT.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/50_ARDUPILOT_CALIBRATION.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/60_LAUNCH_AND_PARAMS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/70_FLIGHT_VALIDATION.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/80_OPEN_ISSUES.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/90_CHANGELOG.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/CHANGELOG.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/IMPLEMENTATION.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/IMPLEMENTATION.md.old,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/README.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/STATUS.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/TEST_MATRIX.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/T04_RESULTS_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/T05_RESULTS_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/T07_RESULTS_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T03_after_clean_wipe_zero_offset_00000162.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T03_before_active_calibration_corruption_00000158.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T03_figures_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T03_intermediate_stale_offset_00000161.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T04_sensor_noise_before_after_2026-04-01.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T05_sitl_noise_before_after_2026-04-01.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T07_first_100s_diagnostics_2026-04-01.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/figures/T07_reciprocal_validation_2026-04-01.png,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T01_airspeed_05ms_2026-04-01_142550.txt,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T01_airspeed_10ms_2026-04-01_142550.txt,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T01_wind_info_05ms_2026-04-01_142550.txt,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T01_wind_info_10ms_2026-04-01_142550.txt,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T03_RESULTS_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T03_bin_notes_2026-04-01.md,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
.ai/features/airspeed/evidence/raw/T04_after_airspeed_2026-04-01.txt,REWRITE,old AI knowledge base reduced to compact protocol,.ai/ and governance/
